names;roof_area;modules;azimuth;elevation;cat;T_sup_sh;T_sup_dhw;ev_exists
101;92;21;-15;30;1;35;60;0
102;92;21;-15;30;1;35;60;0
103;92;20;-15;30;1;35;60;0
104;92;21;-15;30;1;35;60;0
105;92;21;-15;30;1;35;60;1
106;92;19;-15;30;1;35;60;0
107;92;21;-15;30;1;35;60;0
108;92;19;-15;30;1;35;60;0
109;88;18;-15;30;1;35;60;0
110;88;19;-15;30;1;35;60;1
111;88;18;-15;30;1;35;60;0
112;88;19;-15;30;1;35;60;0
113;88;19;-15;30;1;35;60;0
114;88;22;-15;30;1;35;60;0
115;88;20;-15;30;1;35;60;1
116;108;23;-15;30;2;35;60;0
117;108;22;-15;30;2;35;60;0
118;108;22;-15;30;2;35;60;0
119;108;22;-15;30;2;35;60;0
120;108;23;-15;30;2;35;60;0
121;108;24;-15;30;2;35;60;0
122;108;23;-15;30;2;35;60;0
123;108;23;-15;30;2;35;60;0
124;108;23;-15;30;2;35;60;0
125;108;23;-15;30;2;35;60;1
126;108;23;-15;30;2;35;60;0
127;108;22;-15;30;2;35;60;0
128;108;23;-15;30;2;35;60;0
129;108;22;-15;30;2;35;60;0
130;108;23;-15;30;2;35;60;1
131;108;22;-15;30;2;35;60;0
132;364;22;-15;30;3;35;60;0
133;364;23;-15;30;3;35;60;0
201;92;19;-15;30;1;35;60;0
202;92;22;-15;30;1;35;60;0
203;92;18;-15;30;1;35;60;0
204;92;18;-15;30;1;35;60;0
205;92;21;-15;30;1;35;60;0
206;92;20;-15;30;1;35;60;0
207;92;21;-15;30;1;35;60;1
208;92;22;-15;30;1;35;60;0
209;92;18;-15;30;1;35;60;0
210;108;22;-15;30;2;35;60;0
211;92;20;-15;30;1;35;60;0
212;92;21;-15;30;1;35;60;1
213;92;19;-15;30;1;35;60;0
214;92;21;-15;30;1;35;60;0
215;92;19;-15;30;1;35;60;0
216;92;20;-15;30;1;35;60;0
217;364;23;-15;30;3;35;60;1
218;364;24;-15;30;3;35;60;0
219;499;24;-15;30;3;35;60;0
301;137;23;-15;30;2;35;60;0
302;108;22;-15;30;2;35;60;0
303;108;23;-15;30;2;35;60;1
304;108;23;-15;30;2;35;60;0
305;108;24;-15;30;2;35;60;0
306;108;24;-15;30;2;35;60;0
307;108;23;-15;30;2;35;60;0
308;92;22;-15;30;1;35;60;1
309;92;21;-15;30;1;35;60;0
310;108;22;-15;30;2;35;60;0
311;108;23;-15;30;2;35;60;0
312;92;20;-15;30;1;35;60;0
313;92;22;-15;30;1;35;60;1
314;108;22;-15;30;2;35;60;0
315;108;24;-15;30;2;35;60;0
316;108;24;-15;30;2;35;60;0
317;108;23;-15;30;2;35;60;0
318;108;23;-15;30;2;35;60;1
319;364;23;-15;30;3;35;60;0
401;499;22;-15;30;3;35;60;0
402;499;23;-15;30;3;35;60;0
501;88;19;-15;30;1;35;60;0
502;88;19;-15;30;1;35;60;1
503;88;18;-15;30;1;35;60;0
504;88;18;-15;30;1;35;60;0
505;88;19;-15;30;1;35;60;0
506;88;21;-15;30;1;35;60;0
507;88;21;-15;30;1;35;60;1
508;88;18;-15;30;1;35;60;0
509;88;20;-15;30;1;35;60;0
601;108;22;-15;30;2;35;60;0
602;108;22;-15;30;2;35;60;0
603;108;24;-15;30;2;35;60;1
604;108;23;-15;30;2;35;60;0
605;92;18;-15;30;1;35;60;0
606;92;18;-15;30;1;35;60;0
607;92;18;-15;30;1;35;60;0
608;92;18;-15;30;1;35;60;1
701;92;21;-15;30;1;35;60;0
702;92;18;-15;30;1;35;60;0
703;108;23;-15;30;2;35;60;0
704;108;24;-15;30;2;35;60;0
705;92;19;-15;30;1;35;60;1
706;108;22;-15;30;2;35;60;0
707;92;20;-15;30;1;35;60;0
708;108;24;-15;30;2;35;60;0
709;92;21;-15;30;1;35;60;0
710;108;24;-15;30;2;35;60;1
711;92;22;-15;30;1;35;60;0
712;108;22;-15;30;2;35;60;0
713;108;24;-15;30;2;35;60;0
714;92;22;-15;30;1;35;60;0
715;108;24;-15;30;2;35;60;1
716;92;20;-15;30;1;35;60;0
801;108;23;-15;30;2;35;60;0
802;108;23;-15;30;2;35;60;0
803;108;24;-15;30;2;35;60;0
804;108;22;-15;30;2;35;60;1
805;108;24;-15;30;2;35;60;0
806;108;22;-15;30;2;35;60;0
807;108;23;-15;30;2;35;60;0
